a:  i |  duine éigin 
abbess:  ban-ab, máthairab 
stairs:  staighre 
star:  réalta 
start:  tionscain, tosaigh
station:  stáisiún 
Stockholm:  Stócólm 
stone:  cloch 
stool:  stól 
store:  siopa 
storm:  stoirm 
story:  scéal 
straight:  díreach 
stranger:  stróinséir 
street:  sráid 
string:  téad 
strong:  láidir 
substantive:  ainm, ainmfhocal 
suck:  diúl, , súigh, súraic, tarraing 
Sudan:  An tSúdáin 
sufficient:  leor 
sugar:  siúcra 
sulphur:  ruibh, sulfar 
sultan:  sabhdán 
summer:  Samhradh 
sun:  grian 
Sunday:  an Domhnach 
superstition:  piseog 
swan:  eala 
Sweden:  An tSualainn 
Swedish:  Sualainnis 
Swedish language:  Sualainnis 
sweet:  milis 
swift:  tapaidh 
swine:  muc 
Switzerland:  An Eilbhéis 
Syria:  An tSiria 
table:  bord 
take:  faomh, glac 
take in:  faomh, glac 
take over:  ceannaigh 
tale:  scéal 
tall:  ard 
Tanzania:  An Tansáin 
tart:  aigéadach, searbh 
Tasmania:  An Tasmáin 
taste:  blas, tástáil 
teacher:  múinteoir 
ten:  deich 
tender:  milis 
test:  iarracht, iarraidh, ionsaí 
that:  go, gur |  cé a, cé acu 
the:  an, na 
the day after tomorrow:  amanathar 
The Hague:  An Háig 
the Netherlands:  An Ísiltír 
they:  siad
thirst:  tart 
though:  bíodh go, bíodh is go, cé go 
thousand:  míle 
three:  trí 
through:  ullamh |  thar, trasna 
thumb:  ordóg 
Thursday:  an Déardaoin 
Tibet:  An Tibéid 
ticket:  ticéad 
timber:  adhmad 
time:  uair |  am 
tin:  stán 
tired:  tuirseach 
to:  chun, do, go 
toad:  buaf 
tobacco:  tobac 
today:  inniu 
toe:  ladhar, méar coise 
together:  i dteannta a chéile, i gceann a chéile, in éineacht, le chéile 
tomorrow:  amáireach 
tongue:  teanga
too:  fosta, freisin, leis 
tooth:  fiacail 
tortoise:  turtar 
to some extent:  beagán 
toward:  chun, do, go 
towards:  chun, do, go 
town:  baile mór 
train:  traein
tree:  crann 
triangle:  triantán 
triangular:  triantánach 
tribunal:  binse breithimh 
trigonometry:  triantánacht 
trilogy:  triológ 
Trinity:  Tríonóid 
trip:  aistear farraige 
triumph:  buaigh |  bua, caithréim 
trombone:  trombón 
tropical:  teochreasach, trópaiceach 
trousers:  bríste, treabhsar, truís 
trout:  breac 
trumpet:  stoc, troimpéad, trumpa 
truth:  fírinne
tuberculosis:  eitinn 
Tuesday:  an Mháirt 
tulip:  tiúilip 
tummy:  bolg, tarr 
tumor:  meall, siad 
tumour:  meall, siad 
Tunisia:  An Túinéis 
tunnel:  tollán 
turkey:  turcaí 
two:  dá 
Uganda:  Uganda 
uncle:  uncail 
unclean:  salach 
under:  faoi, faoi bhun, taobh thíos de 
underneath:  laistíos, thíos |  faoi, faoi bhun, taobh thíos de
United States of America:  Stáit Aontaithe Mheiriceá 
upon:  faoi, i gcoinne, in aghaidh, in éadan |  ar 
upstairs:  lastuas 
uranium:  úráiniam 
Uruguay:  Uragua 
USA:  Stáit Aontaithe Mheiriceá 
valuable:  daor 
Vatican City:  Cathair na Bhatacáine 
Venezuela:  Bheiniséala 
very:  ana- 
very much:  ana- 
Vienna:  Bhín 
Vietnam:  Bhítneam 
village:  baile beag, gráig, sráidbhaile 
void:  folamh 
Volt:  bholta 
vowel:  guta 
voyage:  aistear farraige 
wait:  fair, fan le 
wait for:  fair, fan le 
wake:  dúisigh, múscail
wake up:  dúisigh, múscail
Wales:  An Bhreatain Bheag 
wall:  falla 
walnut:  gallchnó 
waltz:  bhálsa 
war:  cogadh 
warm:  te 
Warsaw:  Bhársá 
washing-bear:  racún 
wasp:  foiche 
watch:  uaireadóir láimhe |  clog 
water:  uisce 
waterfall:  eas
watt:  bhata 
wax:  céir 
way:  bóthar 
wealthy:  saibhir 
wear:  iompair 
weather:  aimsir 
Wednesday:  an Chéadaoin 
week:  seachtain 
well:  go maith 
well-off:  saibhir 
Welsh:  Breatnais 
Welsh language:  Breatnais 
wench:  cailín 
west:  iarthar 
wet:  fliuch 
what for:  cad chuige, cad ina thaobh, cén fáth 
wheeziness:  múchadh, plúchadh 
wheezy:  gearranálach, múchtach 
when:  cathain, nuair
where:  cá, cá hÁit, cén Áit 
whereas:  ar feadh 
which:  cé a, cé acu
while:  ar feadh |  am 
whilst:  ar feadh 
whiskey:  fuisce, uisce beatha 
whisky:  fuisce, uisce beatha 
white:  bán, fionn, geal
who:  cé a, cé acu 
whore:  fraochán 
why:  cad chuige, cad ina thaobh, cén fáth
widow:  baintreach 
wife:  bean 
wind:  gaoth 
window:  fuinneag 
wine:  fíon 
wireless:  raidió 
wise:  ciallmhar 
within:  i 
without:  gan 
wolf:  faolchu, mac tíre 
woman:  bean 
wood:  adhmad 
woods:  coill, foraois 
word:  focal 
world:  domhan 
worship:  adhair 
wrench:  eochair 
wrist-watch:  uaireadóir láimhe 
writer:  údar 
wrong:  cearr, contráilte 
xylophone:  csileafón 
yacht:  luamh 
yard:  slat
year:  bliain 
yellow:  buí 
Yemen:  Éimin 
yesterday:  inné 
yet:  cheana 
yew-tree:  iúr 
yoghourt:  iógart 
yoghurt:  iógart 
York:  Eabhrac 
young:  óg 
youngster:  ógánach, ógfhear 
young woman:  ógbhean 
youth:  ógánach, ógfhear 
Zaïre:  An tSáír 
Zambia:  An tSaimbia 
zebra:  séabra 
zenith:  buaic 
Zimbabwe:  An tSiombáib 
zinc:  sinc 
zodiac:  stoidiaca 
zone:  crios 
zoo:  sú 
zoology:  míoleolaíocht, só-eolaíocht 
